,user,text,favorite_count,retweet_count,created_at
55,elonmusk,@TheRabbitHole84 !!,4080,321,2023-01-22 04:35:01+00:00
56,elonmusk,@BillFOXLA @FoxNews Where have they *not* found classified documents? That might be a shorter list.,127636,12692,2023-01-22 02:30:29+00:00
57,elonmusk,@DrNickA True,22979,1102,2023-01-22 00:26:55+00:00
58,elonmusk,@ashleevance https://t.co/5wtmeY5oQn,22274,888,2023-01-22 00:09:28+00:00
59,elonmusk,"@WallStreetSilv @CommunityNotes We are going to great lengths to avoid the Wikipedia left wing editorial control problem. By the same token, Community Notes cannot be biased towards the right either. Maximizing for truth is the goal.",12050,1093,2023-01-22 00:06:35+00:00
60,elonmusk,@JonErlichman Always liked that design,82578,2174,2023-01-22 00:01:08+00:00
61,elonmusk,@ahmadtariq07 @Fidias0 True,17260,241,2023-01-21 22:50:41+00:00
62,elonmusk,🤗 https://t.co/9q0ZOUa1ZY,188266,11422,2023-01-21 22:49:04+00:00
63,elonmusk,@jgebbia 🤣,4717,166,2023-01-21 22:46:36+00:00
64,elonmusk,@WallStreetSilv @dogeofficialceo @TheRabbitHole84 @WholeMarsBlog @BillyM2k lmao,5978,371,2023-01-21 19:28:56+00:00
65,elonmusk,"@tyromper Yeah, we’re thinking hard about this",5060,242,2023-01-21 18:28:19+00:00
66,elonmusk,@PeterDiamandis Absolutely. Freedom means freedom to die when you are sure that you want to.,55784,3532,2023-01-21 18:09:15+00:00
67,elonmusk,@TheRabbitHole84 Notes must stay pure.,3037,150,2023-01-21 18:07:38+00:00
68,elonmusk,@ScottAdamsSays @Dilbert_Daily 🤣,6480,308,2023-01-21 18:05:20+00:00
69,elonmusk,@giano That’s the plan!,8562,346,2023-01-21 17:54:43+00:00
70,elonmusk,@TheRabbitHole84 Maybe there’s a way to do this by placing an ad below tweet details,3401,180,2023-01-21 17:51:04+00:00
71,elonmusk,"Also, there will be a higher priced subscription that allows zero ads",64465,3726,2023-01-21 17:49:22+00:00
72,elonmusk,Ads are too frequent on Twitter and too big. Taking steps to address both in coming weeks.,255248,15530,2023-01-21 17:41:22+00:00
73,elonmusk,@Austen 🤣,8645,268,2023-01-21 17:39:41+00:00
74,elonmusk,"@CollinRugg That is a little delayed, as a key researcher can only travel to Twitter in early Feb",27614,2336,2023-01-21 17:35:01+00:00
75,elonmusk,Je me souviens Pluto 🥹,158505,9148,2023-01-21 09:07:40+00:00
76,elonmusk,@OzraeliAvi Twitter is the source of truth,217297,20384,2023-01-21 08:25:50+00:00
77,elonmusk,@DexterWWinters @ScottAdamsSays Was required to visit Tesla Giga Berlin. Not my choice.,6523,788,2023-01-21 07:59:05+00:00
78,elonmusk,"@unusual_whales The note is incorrect. There are ~2300 active, working employees at Twitter.

There are still hundreds of employees working on trust &amp; safety, along with several thousand contractors. 

Less than 10 people from my other companies are working at Twitter.",24759,2019,2023-01-21 07:57:28+00:00
79,elonmusk,"@peters8620 @stillgray @ScottAdamsSays I had OG C19 before vaccines came out and it was basically a mild cold.

Then had J&amp;J vaccine with no bad effects, except my arm hurt briefly.

First mRNA booster was ok, but the second one crushed me.",13147,3053,2023-01-21 07:53:26+00:00
80,elonmusk,"@ScottAdamsSays And my cousin, who is young &amp; in peak health, had a serious case of myocarditis. Had to go to the hospital.",43734,10420,2023-01-21 07:39:12+00:00
81,elonmusk,@unusual_whales @BillyM2k Yes,3912,162,2023-01-21 07:26:51+00:00
82,elonmusk,"@ScottAdamsSays I had major side effects from my second booster shot. Felt like I was dying for several days. Hopefully, no permanent damage, but I dunno.",158854,26363,2023-01-21 07:22:02+00:00
83,elonmusk,@CommunityNotes Extremely important,3210,184,2023-01-21 07:19:35+00:00
84,elonmusk,@BillyM2k 🤣🤣,5412,225,2023-01-21 07:18:37+00:00
85,elonmusk,@BillyM2k @joshzepps Sigh … I hope Sam becomes his old super rational self again one day,7135,344,2023-01-21 07:18:02+00:00
86,elonmusk,@slashdot Cool,8006,365,2023-01-21 07:02:40+00:00
87,elonmusk,@LayahHeilpern Interesting &amp; entertaining content from around the world is worth seeing,9866,464,2023-01-21 07:00:34+00:00
88,elonmusk,@WorldAndScience 🤣 yeah,1793,79,2023-01-21 06:46:49+00:00
89,elonmusk,@stats_feed Wow,32621,1112,2023-01-21 06:42:57+00:00
90,elonmusk,"@lexfridman Two of the worst possible curses:
- You will live forever
- You can have anything you want",54717,5071,2023-01-21 05:47:36+00:00
91,elonmusk,@WholeMarsBlog Cool,13535,450,2023-01-21 05:18:47+00:00
92,elonmusk,"@TheRightMelissa Back then, George Washington was the “old guy” at age 44!",67355,3376,2023-01-21 03:18:35+00:00
93,elonmusk,"@EvaFoxU @BillyM2k Japan has higher total user-minutes than the USA, so Japan is actually #1",6033,1023,2023-01-21 03:16:04+00:00
94,elonmusk,@teslaownersSV I’m reviewing it next week for possible release,3514,234,2023-01-21 03:13:31+00:00
95,elonmusk,@TimRunsHisMouth Good question,22384,1367,2023-01-21 00:50:16+00:00
96,elonmusk,(Tweets will be translated before being recommended),56726,3139,2023-01-21 00:40:35+00:00
97,elonmusk,@vastblastx Coming feature,3636,180,2023-01-21 00:37:50+00:00
98,elonmusk,There are epic tweets in other countries every day (Japan especially),81280,7614,2023-01-21 00:35:56+00:00
99,elonmusk,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop switching you back to recommended tweets",75709,6736,2023-01-21 00:31:38+00:00
100,elonmusk,@cb_doge @APompliano The debt trend is 🤯🤯,3502,277,2023-01-21 00:27:49+00:00
101,elonmusk,"@APompliano More than triple that when you add social security, Medicare &amp; govt pension obligations",38107,2904,2023-01-21 00:26:21+00:00
102,elonmusk,@AdamShawNY Wow,5389,296,2023-01-21 00:22:40+00:00
103,elonmusk,@TaraBull808 Or spending too much time on social media,9113,475,2023-01-21 00:19:14+00:00
104,elonmusk,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",291820,25486,2023-01-21 00:18:21+00:00
105,elonmusk,@ryan_pickering_ @welt !!,1505,103,2023-01-21 00:14:10+00:00
106,elonmusk,@rustyrockets @AndrewLawton 🤣,2796,148,2023-01-20 23:43:24+00:00
107,elonmusk,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",35014,3277,2023-01-20 23:23:17+00:00
108,elonmusk,"@DavidSacks I am super pro Ukraine, but relentless escalation is very risky for Ukraine and the world",56887,3964,2023-01-20 23:00:47+00:00
109,elonmusk,@ezralevant Power to the people!,51785,4609,2023-01-20 22:56:43+00:00
110,elonmusk,@teslaownersSV 99% of people still have no idea how profound this is,23978,1108,2023-01-20 22:55:23+00:00
